time,data,median,LB,UB
2017,78.4,78.4,78.4,78.4
2018,82.4,82.5134253,81.3860123,83.66041037
2019,84.4,84.21384598,83.22362981,85.19112046
2020,85.1,84.94030337,83.94792527,85.86478441
2021,84.5,85.03045623,84.09235054,85.94741583
2022,84.9,84.76208657,83.70321545,85.82175028
2023,NaN,84.19966358,82.97526066,85.9200502
2024,NaN,83.47537037,81.95217286,86.23886179
2025,NaN,82.6380784,80.76099975,86.52394742
2026,NaN,81.70532952,79.35166957,86.69576519
2027,NaN,80.68818971,77.71925276,86.94691684
2028,NaN,79.61878194,76.06866287,87.05506592
2029,NaN,78.51198064,74.51591835,87.28504161
2030,NaN,77.37370632,72.81450144,87.45280404
,,,,
,,,,
,,,,
