"Year","data","median","LB","UB"
2008,8956,8955.5,8955,8956
2009,8051,7902.71743548663,7197.93618370105,8517.66763645796
2010,7539,7468.89992977493,6936.39181414029,7973.35699299175
2011,7044,7059.34237352197,6577.88900051076,7576.76207691939
2012,6568,6701.8347928919,6214.70741096615,7239.25683362853
2013,6001,6375.00611837726,5882.11358548282,6941.42576398519
2014,5958,6092.58688805321,5607.27914972218,6629.31285999215
2015,5893,5837.46594207254,5362.74591289551,6363.55322991706
2016,5858,5615.12242539875,5130.58446879126,6098.6363497694
2017,5519,5401.97700025765,4919.88234608422,5885.48859337757
2018,5244,5204.17840285385,4646.0314558938,5717.96509635703
2019,4966,5028.51048593008,4413.08407192562,5580.40061583233
2020,3800,4860.18785970109,4162.4489730428,5464.56129666194
2021,4600,4684.50515566657,3909.66064193189,5380.49956151308
2022,4699,4525.020833328,3685.11591223246,5294.20136202169
2023,NA,4368.70429487672,3488.97554937724,5216.80240387938
2024,NA,4209.2961149959,3271.02825088591,5123.61324007677
2025,NA,4057.4478194782,3092.82781252089,5043.57912375976
2026,NA,3916.65492769254,2891.78046574954,4962.78802840623
2027,NA,3760.48815206928,2730.76561950096,4860.37408197753
2028,NA,3616.56015162709,2542.54486219822,4737.61265463097
2029,NA,3495.2234684184,2391.51682428369,4627.8329714373
2030,NA,3363.18393682947,2245.7387676352,4532.44766034058
