"Year","data","median","LB","UB"
2008,8956,8956,8956,8956
2009,8051,7734.04243412137,7108.66952716557,8322.51407934241
2010,7539,7425.87057291834,6881.49583513694,7977.94248943273
2011,7044,7115.14893422196,6589.62129695464,7641.93404036514
2012,6568,6800.62745772527,6283.88937597369,7321.78758888321
2013,6001,6488.83749962409,5984.32327864092,7006.55663231466
2014,5958,6194.39843660563,5693.74461199347,6694.46770570075
2015,5893,5907.87374196026,5394.96261119338,6417.7710486374
2016,5858,5635.0582425874,5109.60499240942,6136.63784240601
2017,5519,5370.33385124373,4833.42865940553,5890.32169577594
2018,5244,5112.74524426232,4571.43653722623,5637.45742726028
2019,4966,4871.32890887936,4320.07495815741,5436.20642432375
2020,3800,4645.93866005019,4067.1935551575,5196.12046815915
2021,4600,4420.07040290419,3830.75641112244,4984.54398197492
2022,4699,4209.57588646058,3603.24503274019,4789.17040181625
2023,NA,4011.62290548917,3389.90157200333,4600.12990563829
2024,NA,3812.895184335,3165.78571089083,4390.44084363843
2025,NA,3624.72461942145,2961.95935837302,4234.16677978026
2026,NA,3455.33893771312,2789.95642797317,4047.86538956299
2027,NA,3291.15337419768,2614.59614474327,3891.53249324617
2028,NA,3145.47533612027,2463.71600937631,3739.96140256048
2029,NA,2981.64861164563,2306.44484218981,3568.91235495291
2030,NA,2838.94011755834,2144.76664439875,3449.65097433165
