"Year","data","median","LB","UB"
2008,851,850,850,851
2009,754,743.40713939951,665.323144950019,796.284285122266
2010,656,671.517356262549,612.103169573829,722.58284370585
2011,591,579.323663679653,528.43477639187,631.833437493165
2012,527,519.432391006406,473.972359878937,576.486948170745
2013,489,493.006957257387,448.346563079991,547.419216888742
2014,480,484.033781926449,437.881786939069,535.5990440717
2015,460,482.20441402047,438.00439191495,532.533405164515
2016,467,483.307225088692,438.095325649742,531.856095612196
2017,506,485.823190673316,439.491783799525,532.13434708003
2018,507,489.442220849355,434.294882641385,534.049300656935
2019,486,492.580455291447,429.429937087926,538.273705267579
2020,425,496.333731937465,422.402155542847,543.996604638736
2021,485,498.617783018503,412.742705733773,549.810404920155
2022,505,500.809386296033,385.678504185755,556.509861115008
2023,NA,503.50794016289,379.889566208766,563.607690581511
2024,NA,506.003142240721,361.887265941653,567.502591846455
2025,NA,508.517240357895,341.825859612544,574.752129462454
2026,NA,511.206496736922,329.711078725328,580.488694905638
2027,NA,512.935529090804,318.559668417035,586.012602596288
2028,NA,514.833979917617,295.498179213982,593.680717036494
2029,NA,516.700767034916,276.813719646193,595.12419617115
2030,NA,517.991716389565,271.413414492422,603.278702304537
