"Year","data","median","LB","UB"
2008,26474,26473.5,26473,26474
2009,26050,25594.8323255669,23943.2912727447,27206.1665780882
2010,25881,25967.5458531478,24462.9524829769,27446.5120937417
2011,25478,26065.3923533149,24689.3730513176,27456.301246992
2012,25768,25999.7632577671,24570.3942609386,27435.646726415
2013,25359,25856.2461179764,24498.3699865913,27207.5088892233
2014,26215,25669.0316329269,24310.9673975546,27000.1648961556
2015,26186,25435.7637756885,24072.1896328515,26787.8001947514
2016,25794,25215.2004400182,23835.3992917273,26579.0606005628
2017,25182,24953.9254733469,23508.5037048241,26325.9136465939
2018,24346,24687.8341223708,23335.4311863243,26145.3262809393
2019,23827,24394.6659596298,22918.2197608872,26058.4760301033
2020,20462,24140.0801199497,22616.1148249376,25916.8875853708
2021,23785,23846.5008704909,22273.2750265272,25897.6688547391
2022,25193,23564.1890279519,21871.0895712706,25814.7169011143
2023,NA,23286.6970046489,21523.8151190737,25829.2678065815
2024,NA,23002.5740579252,21145.127131774,25770.8467148469
2025,NA,22724.0084069013,20743.613712762,25779.935053699
2026,NA,22422.4813428807,20295.2119995315,25870.1255255739
2027,NA,22130.8856656563,19846.8583289177,26004.977666991
2028,NA,21849.8898767108,19429.0475778298,26134.7649819269
2029,NA,21551.9522157118,19006.4250140639,26318.8570956044
2030,NA,21256.3717819232,18539.8067539434,26318.5855115913
