"Year","data","median","LB","UB"
2008,8646,8645.5,8645,8646
2009,8326,8348.4887768444,8001.92452481094,8669.91102308413
2010,8137,8172.52125611861,7873.62607414547,8470.46970583277
2011,7749,7942.84055024148,7651.84227621404,8225.6775153405
2012,7752,7683.05564249771,7394.50369571245,7970.8799628842
2013,7473,7412.15894475817,7124.48962013213,7690.28016502236
2014,7331,7137.82212205322,6846.76642605575,7411.97687809494
2015,6956,6866.79328282846,6586.30735089195,7154.79192728038
2016,6627,6598.37881265572,6312.22772289303,6882.90991989083
2017,6361,6333.06964302302,6058.77582523335,6621.97203556219
2018,6036,6078.18718697567,5797.96173921011,6381.5861208235
2019,5637,5827.43988690014,5547.48193867402,6150.37495819166
2020,4938,5590.42468928484,5305.99739241752,5924.64859065082
2021,5677,5360.83824237249,5066.21659254249,5738.0074875975
2022,5730,5136.37594427306,4838.03209812186,5535.71760752953
2023,NA,4917.06110431473,4610.96722397457,5370.9559921321
2024,NA,4707.5535997799,4400.17506669199,5182.24072906564
2025,NA,4510.09613923057,4193.51634446922,5036.61143101017
2026,NA,4311.15141419863,3993.40683613927,4884.15114015022
2027,NA,4126.54089853867,3800.25366893274,4742.03866859224
2028,NA,3949.06206091732,3618.93858218582,4625.64077279862
2029,NA,3776.5939361804,3441.19912130516,4494.73129685746
2030,NA,3614.51464474389,3279.5873276738,4356.51198033443
