"Year","data","median","LB","UB"
2008,244,244,244,244
2009,195,175.511359005899,134.003363898693,216.160532369487
2010,189,178.07986271372,137.272788355617,219.282726506055
2011,189,180.911323884483,142.007194116462,219.659753747053
2012,151,182.173402373634,143.134003514935,220.033522524588
2013,159,183.056106865018,145.115083740948,221.425134105575
2014,178,184.170498092075,145.702754231891,221.984413330225
2015,175,185.125541992529,146.493910121453,222.422897761327
2016,178,185.199218834069,147.469530384796,223.825317434443
2017,194,185.47870114475,146.718854887021,224.585269631371
2018,200,185.16651671883,147.259750116854,225.044034258821
2019,205,186.119013931785,145.13418630672,225.75879921431
2020,194,185.407279075799,143.987862350188,227.341471708628
2021,230,186.409210666804,141.471006038107,226.413392969561
2022,230,186.769447547498,139.94554627624,228.015933999229
2023,NA,186.581868821103,135.27389308848,228.627521997821
2024,NA,186.152265242576,133.107272249649,231.178314579985
2025,NA,186.904122534849,127.848147072597,231.318638167665
2026,NA,186.897331429429,123.468074179389,232.077449052711
2027,NA,187.080652691914,117.780886180936,233.600494970168
2028,NA,186.987806676278,112.711763410962,233.052534515748
2029,NA,187.10823546956,104.681329822055,237.010943244413
2030,NA,187.086474884374,100.728836339953,235.333142197358
