"Year","data","median","LB","UB"
2008,2141,2140.5,2140,2141
2009,2199,2167.25046100116,1989.93651942193,2326.99161071473
2010,2213,2213.40306957768,2064.81169061802,2358.86984885173
2011,2205,2242.4170438337,2106.72991617588,2377.46498650772
2012,2224,2259.22299512924,2123.09065211237,2391.93196637897
2013,2209,2269.7355839354,2136.42525028023,2408.74416659787
2014,2297,2273.5974486291,2143.27670584903,2403.90441617379
2015,2299,2271.29213349789,2135.97655280688,2407.98687987767
2016,2369,2269.42709168917,2137.49741715493,2401.83479047861
2017,2296,2264.79850108361,2131.71648626852,2398.91675059432
2018,2249,2253.96065020479,2116.5523603797,2394.40551730279
2019,2165,2246.30686864491,2098.31402157655,2392.29699553634
2020,1994,2234.74085480948,2075.22078573526,2394.13223250148
2021,2186,2220.41984052033,2041.82782232657,2398.15573636931
2022,2044,2209.64283478272,2006.95315492463,2400.29018008119
2023,2128,2193.69907390328,1961.52134978034,2401.77244616018
2024,NA,2176.45141649857,1915.40322134739,2409.19127976507
2025,NA,2159.133088225,1875.74612123127,2412.51070580408
2026,NA,2140.48090919918,1833.65093909836,2421.28350047599
2027,NA,2121.12531432753,1791.72339656454,2425.40703873028
2028,NA,2101.93514741879,1741.24433855728,2441.61169659296
2029,NA,2080.74043715956,1693.12867622926,2442.59321557055
2030,NA,2062.19497198129,1620.7103271725,2455.10631172501
