"Year","data","median","LB","UB"
2008,22921,22920.5,22920,22921
2009,21966,21631.233832491,20413.9960871092,22998.0932665395
2010,21359,21015.2135772094,19988.7839249787,22054.6193394093
2011,20269,20689.6305302048,19709.0755068552,21651.4471222
2012,20263,20309.9133616706,19383.1928434842,21240.8873774177
2013,19285,19955.3973241948,19018.0260914104,20878.5776400036
2014,19706,19574.7674739417,18664.191006069,20482.7212313559
2015,19364,19211.4081061493,18298.0360705182,20119.0704462849
2016,19232,18835.9441407824,17945.5841138814,19742.8073035742
2017,18697,18469.1262645572,17511.8546967186,19414.5235044385
2018,18103,18096.8314100061,17170.7825622783,19072.283134587
2019,17527,17738.6897581835,16759.3134821552,18707.4352999689
2020,14848,17394.9743092429,16416.5891870814,18400.5922733114
2021,17068,17033.167390384,16009.0696138948,18171.7279275374
2022,17808,16688.9451464469,15588.1618598936,17880.5220967207
2023,NA,16355.0153360762,15250.9523957263,17703.1861753117
2024,NA,16025.0259389856,14897.6931811358,17468.0770909409
2025,NA,15681.2279353891,14486.7863451111,17297.3268548121
2026,NA,15353.1349320582,14108.3359009416,17165.0176677851
2027,NA,15050.7986852126,13771.5650403832,17047.4172073618
2028,NA,14720.8131643199,13408.2680493638,16957.4000747264
2029,NA,14423.9441624615,13059.4103102977,16884.012559355
2030,NA,14113.9933195013,12727.772353395,16899.3087555911
