"Year","data","median","LB","UB"
2008,6955,6955,6955,6955
2009,6678,6663.94288293606,6393.31081302635,6924.12341807829
2010,6619,6496.72129126309,6253.15795299537,6737.6989233095
2011,6177,6310.14504558945,6082.47907600449,6543.9938760889
2012,6083,6119.26453989316,5885.40770889483,6353.41784659716
2013,5753,5929.73853026917,5691.13482641582,6152.40338950526
2014,5707,5734.01181279085,5509.06579146033,5963.04568214353
2015,5679,5542.37157256251,5321.98213287472,5782.22066509055
2016,5406,5362.71457620136,5129.83665337176,5586.88087462318
2017,5215,5181.78347427475,4944.45804151728,5412.41269602961
2018,5058,5005.73663064161,4764.61246324627,5245.34272488735
2019,4761,4837.53559567895,4590.99902998804,5066.54797270958
2020,4193,4676.48956211695,4438.60145435364,4914.71754006775
2021,4779,4513.81246501565,4261.67872985809,4751.71042137326
2022,4683,4358.51091311922,4102.62346674952,4598.15983168955
2023,NA,4207.16668488008,3937.94107993403,4438.87736722929
2024,NA,4063.73106775959,3796.10863090194,4302.97533762865
2025,NA,3922.69010396894,3641.59429214193,4168.00717235705
2026,NA,3783.9778824311,3499.93559076552,4027.92493803075
2027,NA,3653.94156690552,3359.75961113031,3902.18679680184
2028,NA,3529.45043976364,3226.96862476507,3780.37138353312
2029,NA,3405.01047471796,3101.93381935052,3661.94759948537
2030,NA,3286.37468462277,2977.7534211307,3548.76365247804
