Year,data,median,LB,UB
2008,5979,5979,5979,5979
2009,5446,5180.562601,4730.373551,5614.229549
2010,5043,4958.110857,4553.020711,5387.98703
2011,4700,4722.366419,4320.472375,5132.262528
2012,4267,4502.200701,4108.954664,4897.485591
2013,3974,4284.754228,3882.277295,4676.408255
2014,3860,4071.277549,3672.374382,4464.240515
2015,3837,3871.498384,3474.371303,4270.936103
2016,3811,3672.553344,3281.775964,4061.43131
2017,3592,3493.642178,3092.405946,3889.09839
2018,3439,3311.592069,2900.8397,3716.680255
2019,3240,3147.814526,2708.460868,3579.662941
2020,2483,2978.138499,2551.369235,3395.462889
2021,3033,2831.043336,2386.481844,3248.922442
2022,3141,2687.024721,2242.358017,3097.010502
2023,NaN,2548.898765,2081.4591,2974.471517
2024,NaN,2421.030771,1947.831317,2860.750683
2025,NaN,2302.130355,1807.795547,2727.47581
2026,NaN,2179.643133,1697.598385,2616.845723
2027,NaN,2067.545129,1568.452633,2509.949672
2028,NaN,1964.894533,1463.304221,2406.663761
2029,NaN,1863.740903,1333.995689,2300.111169
2030,NaN,1768.318982,1262.656548,2197.708458
