year,month,day,data,median,LB,UB
2008,1,1,856,856,856,856
2008,12,31,758,672.979885815785,568.990779380417,769.472754034306
2009,12,31,658,676.282089230186,583.921413808221,770.157651260396
2010,12,31,662,678.281421218979,586.751428466357,772.681649901344
2011,12,31,645,680.7509472998,590.681285285726,774.54096453228
2012,12,30,637,681.59386728607,588.85357844302,774.515448031254
2013,12,30,637,683.499977386222,590.741145257806,774.809314554091
2014,12,30,678,682.756266515487,591.745779760494,774.987860247055
2015,12,30,734,683.245810357647,588.948476304907,775.262608521782
2016,12,29,709,682.896651933644,588.761804925616,774.956923035799
2017,12,29,705,682.671096172161,588.294685306252,774.765988037063
2018,12,29,679,680.681680335531,584.981646030101,773.465701872985
2019,12,29,578,679.625167650906,582.873033653457,774.932815700787
2020,12,28,715,679.080829148052,575.320703849147,778.481091666955
2021,12,28,791,678.810956205557,567.224630939084,779.438411318139
