Year,data,median,LB,UB
2008,905,905,905,905
2009,856,772.7454113,649.3373329,892.0999285
2010,828,773.0629442,654.7299147,893.3934966
2011,788,769.9419241,654.5515795,881.7336009
2012,674,766.55866,651.7776206,877.1145806
2013,712,764.6417641,650.2991795,875.2204086
2014,750,756.7230364,646.3036844,868.4670158
2015,785,751.7598334,644.082543,864.0697744
2016,722,746.7559091,636.5685775,860.1622833
2017,698,738.8898214,625.7360133,848.2084471
2018,761,735.1885297,620.3932715,847.2732834
2019,724,728.2484055,608.7486353,842.7388577
2020,572,722.9281751,596.8251332,840.4087711
2021,704,716.1374682,585.3375642,837.3169272
2022,870,712.4035888,573.8101551,831.2811438
2023,NaN,706.8740214,557.5464749,832.4832885
2024,NaN,699.6987956,540.9631421,826.9099441
2025,NaN,696.0787364,522.1041578,824.2692653
2026,NaN,688.9118931,505.3364092,823.2236165
2027,NaN,684.0650736,495.5779227,818.0910555
2028,NaN,677.3006287,470.5917732,816.9888048
2029,NaN,674.8731304,459.2203516,818.1529557
2030,NaN,669.5015834,430.6466937,817.7970008
