year,month,day,data,median,LB,UB
2008,1,1,5979,5978.5,5978,5979
2008,12,31,5446,5250.16494239382,4410.37886196202,6480.28318420609
2009,12,31,5043,4771.17139916137,3491.11336498605,5381.70547763755
2010,12,31,4700,4588.41486861752,3397.78506274492,5194.77495773987
2011,12,31,4267,4421.17227876422,3384.70217343191,5019.14526587574
2012,12,30,3974,4243.97459789495,3335.60396289039,4916.64599114833
2013,12,30,3860,4064.42264032399,3255.16663320422,4842.76751397783
2014,12,30,3837,3900.6915718436,3166.51386745365,4747.72931739052
2015,12,30,3811,3734.48867308682,3082.18345191431,4637.13875377065
2016,12,29,3592,3581.50396440415,2980.79789262899,4607.00012322576
2017,12,29,3439,3439.89597431287,2849.83352037944,4509.11442067317
2018,12,29,3240,3288.80813233785,2703.48994732137,4476.14411932488
2019,12,29,NaN,3153.37588244374,2537.55392557153,4443.60571476543
2020,12,28,NaN,3024.32436892431,2398.59920775852,4370.52412818231
2021,12,28,NaN,2899.50830648844,2262.43461603915,4329.15193281126
2022,12,28,NaN,2769.17194700013,2108.1873913777,4250.86869987116
2023,12,28,NaN,2668.47066106195,1963.95075033989,4236.37637727594
2024,12,27,NaN,2538.91489808825,1821.04659594403,4187.56936537969
2025,12,27,NaN,2428.14934049889,1704.00194096175,4166.04324964468
2026,12,27,NaN,2333.45812809822,1578.73655544348,4080.58747749025
2027,12,27,NaN,2234.73177045203,1476.61942476908,4093.74340186033
2028,12,26,NaN,2142.34100754103,1359.18459116151,4046.16184959257
2029,12,26,NaN,2045.99148409419,1276.69564814613,4050.04701069431
