year,data,median,LB,UB
2008,856,855.5,855,856
2009,758,714.512728,592.6201322,811.8453626
2010,658,680.5565126,592.8411084,759.6122314
2011,662,657.9915655,582.1975509,759.9411043
2012,645,652.3303001,577.485593,760.2990647
2013,637,660.0376417,588.0340048,758.2220786
2014,637,671.4910359,599.2412011,760.2688179
2015,678,682.990792,604.329863,758.6462969
2016,734,692.9871836,607.0862562,764.3177931
2017,709,697.1548713,602.6194398,771.0242096
2018,705,696.6139061,602.7559671,768.0350254
2019,679,690.2661634,600.3231133,767.5956243
2020,578,679.2098069,595.0643587,767.2572665
2021,715,662.4212491,577.5328871,764.7838969
2022,791,646.1192059,551.3253438,768.7150159
2023,NaN,627.001214,517.2814417,768.7588609
2024,NaN,608.3328995,480.637628,772.8096377
2025,NaN,591.6114034,441.2351837,770.8568878
2026,NaN,574.6316751,400.5769108,770.5678966
2027,NaN,563.1748289,362.6056612,772.2398926
2028,NaN,540.9838262,323.4973483,775.1690605
2029,NaN,524.7453909,286.0038808,778.3780123
2030,NaN,513.137415,252.8056852,774.7401732
