Year,data,median,LB,UB
2008,856,856,856,856
2009,758,672.3714286,569.1014336,771.9404932
2010,658,678.7395674,579.3482444,769.5837284
2011,662,679.5673059,584.6033055,773.7945951
2012,645,680.3288998,584.5361902,772.8791797
2013,637,680.1731629,588.6277413,773.3660108
2014,637,681.119015,591.685945,775.4496302
2015,678,682.8492916,587.7246554,772.6853106
2016,734,681.4507415,590.0786516,772.0517745
2017,709,681.7752962,586.7029885,772.7762093
2018,705,682.3525318,587.676091,776.3718274
2019,679,680.8848415,585.4630866,774.8831615
2020,578,680.7123207,580.8736747,777.8709573
2021,715,679.6774285,571.5646856,776.854779
2022,791,679.4213463,564.7280794,777.5502024
2023,NaN,678.4262222,559.1194856,781.0664296
2024,NaN,677.6703623,546.4347137,778.3700493
2025,NaN,677.4606249,539.314617,783.507018
2026,NaN,678.0933023,525.6144491,780.4883602
2027,NaN,676.4765309,502.5599949,783.4778264
2028,NaN,677.4520508,493.7215854,785.3990612
2029,NaN,678.0556628,476.095417,783.2383384
2030,NaN,678.0276356,469.5329091,784.8822683
