year,month,day,data,median,LB,UB
2008,1,1,242,242,241,242
2008,12,31,221,183.570160884027,139.267999408396,230.225932026876
2009,12,31,166,177.850189965531,136.965338376042,218.084557532756
2010,12,31,171,171.37538393641,132.904851148355,210.893507289628
2011,12,31,151,166.035438482035,128.213048784476,204.438682014953
2012,12,30,136,159.175059276695,123.272343062907,199.597909472333
2013,12,30,143,153.502239655895,117.128005822102,193.065673956075
2014,12,30,144,148.078175884973,111.276246850567,186.178070856671
2015,12,30,141,142.595807585366,104.775474673513,180.444004061373
2016,12,29,148,137.358317173923,97.6086224645527,175.451319359867
2017,12,29,143,132.445391731893,91.8681667227839,171.000697941343
2018,12,29,140,127.089986839623,85.3044518706321,166.369891774347
2019,12,29,123,122.419254878779,77.5423216552137,163.08376608522
2020,12,28,142,117.326152949383,73.1063892156749,159.049220133726
2021,12,28,157,111.901901703052,65.6249857002574,156.666849336467
