Year,data,median,LB,UB
2008,242,242,241,242
2009,221,183.487042,138.0918331,229.6932118
2010,166,177.280999,137.5038695,216.8413863
2011,171,170.7603851,133.2318229,210.379888
2012,151,165.475952,127.8159953,205.2128668
2013,136,159.2439455,122.2550866,199.2549211
2014,143,153.8952251,117.2386839,192.8099502
2015,144,148.5174894,111.4890147,186.5595265
2016,141,142.5728666,104.8552182,180.7623973
2017,148,137.7940111,98.61417975,175.610079
2018,143,132.2130978,91.24323579,169.6575342
2019,140,126.6498917,84.63673936,166.1965293
2020,123,122.1089313,78.68856729,163.4403195
2021,142,117.3425068,73.77132553,159.45379
2022,157,112.0642642,67.66475767,156.8627013
2023,NaN,107.0706066,60.45141378,155.6401891
2024,NaN,102.8181664,57.45878313,154.2201168
2025,NaN,98.45652643,48.93014774,152.0361679
2026,NaN,93.99577975,46.38441307,151.5064461
2027,NaN,90.79172087,40.12431855,150.6393957
2028,NaN,86.40188009,34.68044526,150.5344877
2029,NaN,83.61246548,32.19035923,151.0710571
2030,NaN,79.63656123,27.91125235,151.5509187
