Year,data,median,LB,UB
2008,1963,1962.5,1962,1963
2009,1635,1579.02345,1028.60513,1736.019542
2010,1409,1398.155074,1008.330212,1643.528408
2011,1193,1216.274655,957.1860857,1580.922526
2012,1061,1078.909644,897.4075367,1512.453639
2013,977,995.1046615,849.7546205,1448.80679
2014,950,949.4970874,789.3964113,1393.969675
2015,914,933.0304662,717.3260527,1335.519011
2016,887,943.0386536,686.8898866,1279.013434
2017,952,962.5874484,608.8481496,1223.660846
2018,997,990.6105551,558.8244455,1186.544362
2019,1113,1023.537343,501.0268893,1161.531397
2020,921,1057.602148,455.765512,1205.597231
2021,1137,1090.287562,401.5579859,1270.170125
2022,1205,1119.520877,369.1578692,1334.730379
2023,NaN,1145.30621,309.8149737,1405.497611
2024,NaN,1145.54609,274.4392488,1481.521436
2025,NaN,1163.692064,250.9136055,1553.934704
2026,NaN,1183.33844,205.0457673,1629.166975
2027,NaN,1184.203817,160.7629621,1699.003874
2028,NaN,1197.430122,133.8785225,1778.232375
2029,NaN,1207.278942,116.7077993,1855.727823
2030,NaN,1206.752786,95.22445446,1932.432453
