year,month,day,data,median,LB,UB
2008,1,1,5803,5802.5,5802,5803
2008,12,31,5820,5781.59843642011,5335.41500860765,6209.7062401021
2009,12,31,5694,5689.35812454479,5324.18251058799,6066.78587581152
2010,12,31,5696,5679.9895234601,5308.48450579094,6076.5033481
2011,12,31,5574,5712.62383437575,5376.0601545875,6096.88467199636
2012,12,30,5598,5785.174592784,5456.4787090698,6115.49477558717
2013,12,30,5969,5854.97493330454,5505.3069301856,6181.69613756617
2014,12,30,6113,5899.20438346121,5530.67816606637,6246.89864640147
2015,12,30,5939,5921.57372715855,5549.69708538761,6266.21260782049
2016,12,29,5905,5905.38131275588,5531.77791995429,6243.35144960391
2017,12,29,5759,5856.10270084303,5506.9256755343,6195.00672987639
2018,12,29,5798,5772.98954357384,5402.77135966069,6184.9210933145
2019,12,29,4963,5679.72989287256,5195.89704395262,6181.51968356107
2020,12,28,5559,5578.88704722799,4904.65768237433,6200.64942060991
2021,12,28,5742,5507.61356842462,4598.16242877274,6211.30467029139
