year,month,day,data,median,LB,UB
2008,1,1,12762,12762,12762,12762
2008,12,31,12432,12148.4649724573,11449.710875912,12846.4188298559
2009,12,31,12273,12355.5803725786,11730.5500553614,12958.2064226213
2010,12,31,12288,12479.1966865441,11880.0350573859,13056.0995556278
2011,12,31,12281,12537.8440137525,11942.8544764008,13134.7740506996
2012,12,30,12298,12566.03892953,11983.4551101392,13164.3331789295
2013,12,30,12772,12549.6739346965,11977.0585039829,13137.7393681435
2014,12,30,12937,12531.6785998631,11944.8183864853,13126.734644994
2015,12,30,12796,12495.742345808,11913.0959383622,13096.0323309974
2016,12,29,12484,12456.672664904,11854.2949853859,13058.975941115
2017,12,29,12248,12395.1527778113,11778.1358358886,13018.5414868482
2018,12,29,12124,12332.9222734896,11692.065060705,12977.7224499483
2019,12,29,10233,12263.0715868265,11619.3974278827,12953.6635431162
2020,12,28,12198,12193.6274795506,11504.3467267573,12937.008780925
2021,12,28,13016,12102.7691518434,11378.5258092388,12900.9330351318
