Year,data,median,LB,UB
2008,2358,2357.5,2357,2358
2009,2372,2298.205612,1994.481792,2657.499762
2010,2482,2428.860933,2143.467717,2700.724926
2011,2503,2579.148826,2299.002391,2846.757003
2012,2591,2692.588682,2437.687023,2950.53769
2013,2690,2792.302928,2529.501675,3053.436296
2014,2831,2874.851061,2620.673718,3129.840612
2015,3070,2944.529083,2698.46829,3207.149049
2016,3196,3013.609182,2759.059356,3273.10988
2017,3103,3074.46241,2804.281612,3341.182664
2018,3085,3129.75799,2860.119028,3404.799707
2019,3101,3175.538823,2896.992336,3459.486368
2020,2568,3223.479383,2920.595329,3517.161165
2021,3425,3269.378769,2952.866818,3574.180696
2022,3963,3302.501242,2977.273557,3641.513228
2023,NaN,3342.947712,2990.062447,3701.840915
2024,NaN,3378.102982,2989.194464,3785.708265
2025,NaN,3416.819618,2997.861302,3828.740615
2026,NaN,3451.032949,2980.392177,3906.826627
2027,NaN,3484.025755,2964.029392,3977.628139
2028,NaN,3511.623345,2928.26633,4060.443322
2029,NaN,3545.232666,2918.900161,4137.36659
2030,NaN,3567.817011,2876.987176,4259.967843
