year,month,day,data,median,LB,UB
2008,1,1,13294,13293.5,13293,13294
2008,12,31,12513,12310.1373062088,10885.8826666093,13180.7011957273
2009,12,31,11862,11685.0352238152,10787.9173208427,12622.812203502
2010,12,31,11286,11283.2104525455,10552.4467161287,12345.1909839937
2011,12,31,10598,11009.9013733139,10306.7838662857,12093.234724923
2012,12,30,10269,10741.2259238472,10004.8975400518,11798.9503158994
2013,12,30,10424,10528.2374957087,9793.31650161058,11546.6810029827
2014,12,30,10518,10299.8299525596,9488.79539292496,11201.9703502027
2015,12,30,10307,10107.0447176451,9207.91901930736,10905.526508358
2016,12,29,10003,9884.82735224518,8910.65071585062,10641.8438939322
2017,12,29,9704,9685.80517471993,8558.90389501721,10401.8482385021
2018,12,29,9592,9461.99137764756,8274.32582422327,10215.5382037656
2019,12,29,NaN,9237.42498910698,7964.27743855769,10080.1060691087
2020,12,28,NaN,9020.09272032969,7672.23611153813,9943.40895364688
2021,12,28,NaN,8791.90622620304,7402.34337417639,9839.66878777654
2022,12,28,NaN,8559.41883278816,7091.1700466924,9728.82547984416
2023,12,28,NaN,8339.80186336287,6795.19372420806,9680.42443465711
2024,12,27,NaN,8134.32799397228,6528.62587506105,9516.39368180792
2025,12,27,NaN,7886.81680865503,6249.07718529868,9456.66434573145
2026,12,27,NaN,7694.12518437876,5987.57923317446,9347.22340451204
2027,12,27,NaN,7479.54031097868,5760.8406371127,9232.0629756925
2028,12,26,NaN,7304.65447999179,5553.4949657233,9179.96877253119
2029,12,26,NaN,7069.56996879075,5263.95916368617,8971.79345818013
