Year,data,median,LB,UB
2008,13294,13294,13294,13294
2009,12513,11830.56323,10714.43846,13001.71961
2010,11862,11692.38894,10659.35677,12748.59171
2011,11286,11513.71418,10487.4884,12546.24345
2012,10598,11242.77179,10275.75083,12263.78409
2013,10269,10965.17683,9979.186451,11994.41531
2014,10424,10666.89465,9682.598315,11682.86227
2015,10518,10366.78043,9347.720335,11372.69546
2016,10307,10049.66981,9043.435469,11087.49742
2017,10003,9748.11061,8773.095855,10750.90722
2018,9704,9429.948288,8406.662544,10456.19793
2019,9592,9136.252163,8092.928983,10159.44136
2020,7861,8826.248631,7774.42639,9849.785196
2021,9083,8545.73173,7489.018928,9602.517743
2022,9401,8260.557407,7190.761918,9303.68924
2023,NaN,7963.356232,6916.662501,9020.895234
2024,NaN,7690.758016,6621.955516,8769.429554
2025,NaN,7438.114577,6349.317587,8464.515207
2026,NaN,7156.623906,6095.530396,8239.54939
2027,NaN,6904.184819,5774.557222,7996.413221
2028,NaN,6648.578789,5564.692625,7733.802793
2029,NaN,6419.476609,5285.95155,7485.050813
2030,NaN,6191.622904,5055.059427,7264.872488
