Year,data,median,LB,UB
2008,3676,3675.5,3675,3676
2009,3606,3530.675656,3127.832803,3943.923073
2010,3646,3581.720734,3250.768128,3919.542531
2011,3611,3650.255057,3336.789719,3984.300912
2012,3575,3730.478577,3418.61703,4069.538832
2013,3669,3814.441194,3507.549459,4150.80694
2014,3859,3896.858661,3594.714453,4216.940579
2015,4146,3975.20523,3667.829442,4280.956852
2016,4209,4039.591791,3742.522802,4339.964434
2017,4089,4097.765727,3767.944622,4404.980794
2018,4130,4146.809065,3797.585035,4464.61307
2019,4125,4179.974871,3825.233233,4498.429948
2020,3386,4205.667895,3841.952009,4548.900833
2021,4388,4222.381893,3835.489991,4578.985247
2022,5124,4235.714607,3844.075676,4609.349914
2023,NaN,4241.008398,3809.369857,4631.003046
2024,NaN,4241.96579,3790.780992,4660.422177
2025,NaN,4240.60496,3746.922462,4690.136125
2026,NaN,4230.541457,3698.744007,4700.264709
2027,NaN,4223.794103,3640.984891,4721.610657
2028,NaN,4207.282078,3566.659162,4752.132921
2029,NaN,4191.490585,3495.70607,4781.216591
2030,NaN,4178.191406,3441.462252,4809.286384
