Year,data,median,LB,UB
2008,3676,3676,3676,3676
2009,3606,3432.674267,3071.96554,3805.050174
2010,3646,3588.557905,3257.283072,3926.027832
2011,3611,3707.483799,3396.273489,4046.040506
2012,3575,3796.174547,3482.615308,4125.186591
2013,3669,3870.821414,3549.537312,4189.720842
2014,3859,3929.465304,3606.878266,4259.160352
2015,4146,3978.513296,3651.832969,4302.809757
2016,4209,4025.227398,3692.666906,4363.868791
2017,4089,4068.354811,3725.821475,4405.509
2018,4130,4105.717162,3758.997512,4434.731839
2019,4125,4135.7274,3783.986793,4483.657137
2020,3386,4164.565451,3807.597131,4518.282416
2021,4388,4196.517245,3820.184532,4561.366188
2022,5124,4225.363676,3819.320353,4588.72522
2023,NaN,4249.317919,3820.579978,4617.200977
2024,NaN,4272.147232,3821.826069,4653.921304
2025,NaN,4296.064498,3821.747587,4682.367224
2026,NaN,4311.752373,3815.592191,4715.658921
2027,NaN,4335.213697,3831.731318,4738.079324
2028,NaN,4354.857769,3812.417723,4769.232391
2029,NaN,4381.254219,3802.559722,4815.642296
2030,NaN,4394.255086,3765.705337,4828.593904
