year,month,day,data,median,LB,UB
2008,1,1,5273,5273,5273,5273
2008,12,31,4814,4596.40829678166,4387.97847326001,4800.3709258207
2009,12,31,4482,4553.14298025479,4361.79577101742,4739.47070805204
2010,12,31,4403,4506.44781965444,4316.64164372438,4691.4163899913
2011,12,31,4414,4455.1881393141,4274.56723376412,4641.62784422019
2012,12,30,4402,4401.52926594542,4218.99598225897,4583.44794460715
2013,12,30,4380,4353.30004693505,4168.83032091644,4532.08117333991
2014,12,30,4261,4303.34474814897,4124.50055567202,4488.39289922088
2015,12,30,4238,4251.82363974382,4068.00954506565,4432.5043886201
2016,12,29,4210,4200.28711389646,4015.64581823478,4378.62452927229
2017,12,29,4157,4148.58339383802,3966.22661444297,4326.28043062309
2018,12,29,4126,4097.13964924744,3912.41362181318,4283.1664574086
2019,12,29,NaN,4045.74512569812,3849.20816881218,4233.77828184796
2020,12,28,NaN,3997.04815803497,3796.09142476082,4186.6022645446
2021,12,28,NaN,3947.47359160239,3734.46351230374,4133.83062428746
2022,12,28,NaN,3901.90997617515,3679.34482155498,4090.05034743192
2023,12,28,NaN,3851.43092033606,3619.76362986169,4042.2752733415
2024,12,27,NaN,3806.56628590536,3559.79220605119,3999.26145279946
2025,12,27,NaN,3757.90429932107,3498.69979341955,3963.13313012643
2026,12,27,NaN,3708.83144213847,3433.76885810798,3906.53988926418
2027,12,27,NaN,3667.62616179306,3374.87793453373,3863.79593273663
2028,12,26,NaN,3620.88033441989,3314.14288757391,3816.54245880214
2029,12,26,NaN,3578.61103298363,3247.71001816787,3774.98281688043
