Year,data,median,LB,UB
2008,23782,23781.5,23781,23782
2009,22358,21745.73722,20068.22685,23297.61661
2010,21416,21281.47454,20036.59317,22443.31227
2011,20676,20816.68735,19663.15648,22038.85285
2012,19920,20467.33127,19269.59335,21780.25075
2013,19646,20169.86181,18954.32804,21505.58362
2014,19947,19903.78769,18727.4859,21178.80798
2015,20179,19694.39543,18619.78229,20891.76927
2016,19931,19508.41193,18366.30208,20613.76875
2017,19351,19319.5311,18126.91998,20439.19338
2018,19029,19161.09523,17899.58322,20358.68596
2019,18823,19013.61694,17617.04048,20314.75242
2020,15469,18842.36974,17276.334,20311.00723
2021,18603,18702.82336,16952.65682,20363.57173
2022,19793,18504.73399,16568.36327,20414.29036
2023,NaN,18333.39351,16270.92276,20487.25162
2024,NaN,18208.47083,15991.43861,20616.29351
2025,NaN,17999.49111,15618.39212,20649.66958
2026,NaN,17838.32411,15315.90665,20750.3131
2027,NaN,17648.96212,15011.15058,20838.12953
2028,NaN,17528.17262,14656.0008,20861.32833
2029,NaN,17267.02706,14383.59202,20955.42376
2030,NaN,17093.38971,14044.51822,21098.18922
