Year,data,median,LB,UB
2008,2202,2201.5,2201,2202
2009,2141,2044.745283,1699.80989,2404.973866
2010,2007,1971.127903,1664.060289,2281.753957
2011,1804,1877.06079,1571.487482,2177.948112
2012,1627,1786.493553,1480.069795,2068.558262
2013,1640,1712.628665,1401.114897,2002.76509
2014,1708,1652.652397,1334.622728,1946.430968
2015,1617,1593.595502,1292.756924,1886.143462
2016,1610,1550.725436,1253.651606,1831.564071
2017,1524,1510.125694,1221.328204,1791.134025
2018,1572,1471.336994,1180.938679,1762.977272
2019,1509,1439.234127,1140.024701,1746.284128
2020,1170,1406.499106,1093.338876,1718.654803
2021,1495,1381.371971,1043.822068,1742.439158
2022,1781,1348.21529,992.668485,1744.629229
2023,NaN,1322.862962,944.1888519,1742.9311
2024,NaN,1293.245027,897.7349969,1753.335934
2025,NaN,1266.672145,845.2055057,1761.779137
2026,NaN,1247.327245,789.444529,1780.204368
2027,NaN,1215.124527,751.8109035,1785.176466
2028,NaN,1189.232012,715.0237133,1792.80092
2029,NaN,1170.603061,663.5437578,1804.316218
2030,NaN,1134.673718,626.8444315,1828.460367
