Year,data,median,LB,UB
2008,1722,1721.5,1721,1722
2009,1476,1420.545084,1225.040274,1646.630139
2010,1402,1370.085197,1202.548279,1540.165262
2011,1326,1343.604706,1178.512902,1504.363277
2012,1293,1326.31222,1162.365398,1490.505866
2013,1271,1315.186225,1149.363301,1481.048927
2014,1265,1304.569877,1145.647671,1464.90052
2015,1247,1303.18689,1146.881202,1454.56468
2016,1396,1297.519089,1137.653715,1454.11599
2017,1316,1291.423104,1137.570738,1440.407659
2018,1321,1285.553,1131.638818,1441.443377
2019,1311,1280.992431,1122.99022,1444.370256
2020,1151,1277.91664,1114.295523,1437.330048
2021,1325,1272.810194,1099.622312,1443.539692
2022,1482,1267.036804,1089.363877,1449.232125
2023,NaN,1265.010116,1077.41721,1457.747092
2024,NaN,1261.235601,1061.511602,1462.384737
2025,NaN,1254.598699,1041.980635,1480.798812
2026,NaN,1253.121438,1024.493492,1484.771874
2027,NaN,1247.175758,1006.60527,1492.029089
2028,NaN,1239.56443,985.7825331,1512.715736
2029,NaN,1238.350772,967.1038893,1506.518885
2030,NaN,1234.279235,952.6727571,1526.29434
