Year,data,median,LB,UB
2008,9287,9286.5,9286,9287
2009,9322,9182.440882,8204.052132,10213.67605
2010,9182,9195.880145,8363.339238,10060.9683
2011,9174,9207.516875,8314.635513,10076.42783
2012,9042,9251.152414,8433.348646,10065.32158
2013,8997,9317.843454,8524.522105,10097.31102
2014,9508,9342.309068,8560.963482,10140.95648
2015,9609,9339.494989,8537.396523,10125.46192
2016,9454,9297.036975,8474.760128,10096.30162
2017,9330,9192.034549,8364.496754,9992.027673
2018,9069,9057.135914,8245.564178,9842.174271
2019,9061,8881.821218,8100.734061,9692.274455
2020,7893,8690.449506,7871.260705,9521.521939
2021,8734,8443.524054,7581.797054,9417.398242
2022,8828,8218.171072,7182.995025,9279.554106
2023,NaN,7949.464505,6778.109977,9167.62028
2024,NaN,7686.521419,6361.82013,9109.424583
2025,NaN,7449.489957,5913.260662,9060.342184
2026,NaN,7213.517861,5494.496097,8962.280937
2027,NaN,6981.625487,5090.4104,8911.17638
2028,NaN,6762.980704,4678.572508,8925.228236
2029,NaN,6570.627357,4293.44824,8882.104219
2030,NaN,6331.207001,3902.31368,8833.222746
