Year,data,median,LB,UB
2008,8646,8645.5,8645,8646
2009,8326,8310.116518,7610.454958,8970.394835
2010,8137,8181.855819,7584.027937,8787.35468
2011,7749,7977.521918,7382.760058,8553.374533
2012,7752,7721.011413,7145.715868,8294.65482
2013,7473,7440.328181,6875.360353,8021.936804
2014,7331,7153.680457,6586.194347,7733.531435
2015,6956,6863.189647,6302.065114,7411.750889
2016,6627,6582.432952,5998.557695,7154.389705
2017,6361,6297.194189,5728.247555,6864.072537
2018,6036,6028.531248,5467.017863,6592.1143
2019,5637,5770.441518,5194.124461,6329.804324
2020,4938,5519.897575,4930.860286,6096.881705
2021,5677,5291.024519,4680.58961,5888.877381
2022,5730,5041.089188,4409.767656,5652.791855
2023,NaN,4825.47985,4165.642435,5498.24201
2024,NaN,4599.800777,3959.232053,5315.563255
2025,NaN,4392.3982,3723.218589,5166.575801
2026,NaN,4192.60899,3496.578212,5033.020074
2027,NaN,4002.438817,3290.519918,4911.908561
2028,NaN,3822.093672,3102.087231,4736.105661
2029,NaN,3657.969372,2918.774471,4679.71906
2030,NaN,3490.249081,2735.287285,4599.856242
