Year,data,median,LB,UB
2008,46703,46702.5,46702,46703
2009,44324,43840.45952,38884.7358,49465.45847
2010,42775,42384.81832,38074.30054,46663.03304
2011,40945,41693.40888,37554.92406,45872.65493
2012,40183,40983.25842,36981.25374,45012.42441
2013,38931,40222.01972,36175.8249,44211.54619
2014,39653,39451.03959,35592.25683,43385.66854
2015,39543,38728.27632,34739.12211,42600.80029
2016,39163,37942.60738,34074.8262,41963.02995
2017,38048,37164.82803,33287.58344,41185.67787
2018,37132,36350.16516,32346.0123,40303.28755
2019,36350,35613.55719,31640.47097,39775.09314
2020,30317,34941.77737,30914.70576,38977.56436
2021,35671,34207.01644,30009.63066,38420.13872
2022,37601,33533.68985,29047.85498,37817.61946
2023,NaN,32783.61411,28488.59285,37219.50423
2024,NaN,32118.94721,27519.68251,36552.41735
2025,NaN,31475.54207,26673.94261,36219.64029
2026,NaN,30883.45665,25865.92945,35504.11544
2027,NaN,30191.25281,25126.2781,35018.72375
2028,NaN,29543.43041,24330.89031,34553.81837
2029,NaN,28920.85101,23379.21789,34100.94858
2030,NaN,28323.34154,22887.15982,33550.55944
