Year,data,median,LB,UB
2008,12228,12228,12228,12228
2009,11492,11186.65445,10274.91773,12090.8979
2010,11101,11026.97861,10169.86981,11855.52704
2011,10580,10810.71563,9987.13041,11607.34812
2012,10497,10586.6351,9765.453059,11406.62945
2013,10155,10341.45382,9561.1101,11149.64442
2014,10087,10088.93921,9270.307906,10894.34582
2015,9940,9829.148746,9024.931892,10620.03371
2016,9644,9569.573298,8770.477286,10369.34172
2017,9425,9312.235732,8513.032723,10115.09786
2018,9215,9051.643999,8256.668445,9869.308932
2019,8887,8815.130551,8005.850963,9612.24497
2020,7643,8569.629196,7753.100481,9370.754878
2021,8980,8327.51712,7514.167949,9124.356346
2022,9102,8081.974614,7281.641646,8912.035838
2023,NaN,7859.07557,7047.279656,8645.159469
2024,NaN,7626.246302,6766.224306,8429.962402
2025,NaN,7402.013811,6571.022536,8202.157604
2026,NaN,7182.940761,6367.71871,8017.832311
2027,NaN,6979.365398,6138.993656,7812.844037
2028,NaN,6779.231968,5885.831272,7606.645019
2029,NaN,6573.30721,5668.753198,7418.766232
2030,NaN,6375.136922,5504.326049,7240.805399
