Year,data,median,LB,UB
2008,1253,1253,1253,1253
2009,1161,1091.286353,912.9575903,1264.838454
2010,1090,1084.459855,918.160756,1243.882071
2011,1027,1068.978119,908.0702584,1222.641623
2012,1008,1050.688255,895.7491352,1207.746725
2013,975,1031.953789,875.4415729,1185.268629
2014,947,1010.459487,857.0510651,1161.827264
2015,1002,991.1795625,838.460386,1146.192052
2016,1054,970.7153337,813.9036641,1123.397794
2017,987,948.4646086,794.7777145,1103.401109
2018,1015,926.1478194,766.8106794,1082.747312
2019,969,905.2804281,749.1915893,1064.637852
2020,739,883.1632659,726.509982,1046.43976
2021,851,862.1123041,703.6856723,1027.295306
2022,934,838.4426611,678.6436603,1006.146321
2023,NaN,821.0422673,659.9180866,982.966634
2024,NaN,800.9511909,630.4862958,969.5959087
2025,NaN,782.5345934,604.7616118,955.3445325
2026,NaN,759.9156011,578.5711951,935.6294583
2027,NaN,743.958277,556.8495448,924.3022934
2028,NaN,725.0905057,535.8393407,907.3036364
2029,NaN,705.5830695,519.1616241,892.3151406
2030,NaN,688.5072444,492.0965202,877.6245948
