Year,data,median,LB,UB
2008,553,553,553,553
2009,540,491.0866383,388.5647887,590.1826198
2010,501,484.3143124,388.4021342,578.6520032
2011,446,477.4955863,388.1763753,567.2615956
2012,444,470.1652855,379.5285518,556.8395007
2013,434,460.1123349,370.5481045,548.0500172
2014,478,452.3805314,365.4814873,538.3954974
2015,398,441.292344,353.3384191,529.9525956
2016,429,433.2167499,347.2272218,520.8727959
2017,429,422.3377294,333.3516324,511.9793958
2018,424,413.7955162,326.5372705,500.3929461
2019,442,405.6445399,317.2148149,495.9126154
2020,320,395.6092268,303.4303401,489.6732907
2021,452,387.4350688,291.789172,482.2660264
2022,524,378.5674967,282.9064919,475.8804023
2023,NaN,370.3070916,267.8437742,468.8134731
2024,NaN,362.6663642,260.0719062,465.8033154
2025,NaN,353.8741344,247.5501918,457.2468467
2026,NaN,344.6299714,237.7354593,452.3623085
2027,NaN,337.2034473,222.6880624,447.2297978
2028,NaN,329.5126992,215.4176406,434.698156
2029,NaN,322.5893262,205.6823242,432.0761076
2030,NaN,314.8790195,193.3494218,428.5248479
