Year,data,median,LB,UB
2008,244,244,244,244
2009,195,168.6346607,122.1768335,215.4105666
2010,189,173.9143802,128.6984758,217.8735908
2011,189,178.8945466,134.9468427,221.5115911
2012,151,181.5393711,139.8855277,224.99428
2013,159,184.9900765,142.5957849,226.1064763
2014,178,186.8315181,143.9511311,230.103362
2015,175,189.5656128,146.7179637,232.7106078
2016,178,190.9150929,149.8415449,232.6796553
2017,194,192.6137058,149.880979,234.1450231
2018,200,194.1163978,150.0936906,237.4837716
2019,205,194.7986835,152.0785818,238.2228415
2020,194,195.3311905,151.8779302,238.8128553
2021,230,196.421901,151.4175514,241.9196285
2022,230,198.0630533,151.2168211,243.1103795
2023,NaN,198.3596145,150.5188918,243.0268691
2024,NaN,199.1878165,148.3633502,245.6971812
2025,NaN,199.2979519,147.3090877,248.0919065
2026,NaN,200.2869012,147.9249695,248.5985428
2027,NaN,201.2857532,143.4099946,250.5878577
2028,NaN,201.2525799,142.528734,251.1883447
2029,NaN,202.7266253,137.5971406,252.2525257
2030,NaN,202.8107016,134.9378514,252.0630508
