Year,data,median,LB,UB
2008,2251,2250.5,2250,2251
2009,1987,1861.369414,1279.79876,2269.214893
2010,1805,1721.148392,1272.824569,2060.442354
2011,1565,1579.299448,1244.669908,1953.613036
2012,1410,1480.49594,1169.76916,1896.440293
2013,1299,1428.854177,1122.087975,1851.629012
2014,1250,1402.816418,1098.11489,1814.179946
2015,1383,1380.508001,1075.132338,1780.964385
2016,1314,1367.442894,1068.379093,1733.709124
2017,1425,1356.158643,1040.264501,1707.582962
2018,1508,1347.020521,1005.798511,1687.937652
2019,1455,1338.879764,956.945438,1653.286951
2020,1157,1330.492568,917.0357439,1642.551227
2021,1401,1323.604139,854.893518,1638.882252
2022,1424,1314.585786,832.2262425,1646.779378
2023,NaN,1304.067175,790.1368751,1654.663507
2024,NaN,1294.718977,750.8057997,1654.216614
2025,NaN,1287.693932,709.7694636,1669.049354
2026,NaN,1274.310556,684.8147675,1671.854873
2027,NaN,1275.499615,624.6746301,1691.361563
2028,NaN,1262.748896,596.228307,1693.52218
2029,NaN,1258.100913,556.2160687,1711.654946
2030,NaN,1249.741739,520.3545385,1732.93473
