Year,data,median,LB,UB
2008,2251,2251,2250,2251
2009,1987,1746.271299,1242.335861,2224.634486
2010,1805,1679.571198,1243.798915,2054.203033
2011,1565,1597.569613,1213.508211,1979.240457
2012,1410,1532.311945,1168.678037,1951.221776
2013,1299,1487.735961,1137.800488,1902.087612
2014,1250,1449.667391,1095.101088,1876.320888
2015,1383,1419.124003,1071.344955,1817.984841
2016,1314,1391.621393,1048.68479,1784.719028
2017,1425,1365.739252,1013.669177,1757.553974
2018,1508,1344.059752,975.736043,1718.899281
2019,1455,1318.404023,919.6613499,1678.342022
2020,1157,1294.90579,880.5595212,1661.159856
2021,1401,1274.930768,837.1203417,1649.925122
2022,1424,1242.885308,785.363909,1628.362882
2023,NaN,1220.862212,725.1403976,1621.062682
2024,NaN,1185.033088,680.3472696,1627.10615
2025,NaN,1163.78042,643.7486958,1624.18891
2026,NaN,1130.477316,609.8569959,1642.974032
2027,NaN,1106.435489,577.4879434,1643.329996
2028,NaN,1071.679053,530.5738841,1645.877091
2029,NaN,1039.682793,490.3620641,1659.075079
2030,NaN,1019.782951,453.9630841,1668.703416
