Year,data,median,LB,UB
2008,13714,13714,13714,13714
2009,13623,13323.28299,12042.24757,14591.59439
2010,13609,13617.96076,12460.97844,14732.63033
2011,13192,13661.63715,12606.89702,14722.66386
2012,13490,13583.39587,12499.24063,14638.36653
2013,13064,13402.52691,12339.28641,14462.58411
2014,13446,13189.93939,12131.39783,14213.7738
2015,13252,12935.06685,11908.14571,14007.91785
2016,12999,12658.0693,11622.25125,13695.20415
2017,12702,12372.60649,11322.79836,13384.69461
2018,12100,12021.48911,10995.08779,13072.36705
2019,11707,11697.98639,10665.35009,12770.56732
2020,10231,11391.9743,10322.40197,12448.06785
2021,11592,11058.22854,9934.177702,12160.70274
2022,12181,10718.02126,9580.731452,11838.38151
2023,NaN,10384.80112,9212.528992,11601.31753
2024,NaN,10079.78225,8800.4245,11308.44132
2025,NaN,9740.949512,8431.748701,11013.31409
2026,NaN,9442.723368,8112.29748,10751.09238
2027,NaN,9122.083693,7767.194095,10520.44615
2028,NaN,8822.49675,7390.704772,10215.69699
2029,NaN,8526.323611,7063.295832,10013.32498
2030,NaN,8249.349249,6686.07135,9724.044696
