Year,data,median,LB,UB
2008,22921,22921,22921,22921
2009,21966,21553.94277,19612.93205,23495.74068
2010,21359,21233.23176,19391.61357,23045.90604
2011,20269,20832.2249,19128.83567,22548.48078
2012,20263,20402.62667,18713.83261,22111.43026
2013,19285,19962.70847,18264.06308,21642.19734
2014,19706,19516.2046,17881.20486,21130.50812
2015,19364,19067.50929,17433.57531,20700.26003
2016,19232,18592.85973,16948.89166,20265.17331
2017,18697,18149.99801,16462.93474,19821.91082
2018,18103,17698.27746,16043.89371,19397.06378
2019,17527,17256.45157,15607.52727,18914.83611
2020,14848,16828.45964,15041.58406,18558.267
2021,17068,16423.16293,14640.10324,18160.61668
2022,17808,16033.70876,14191.09663,17730.44478
2023,NaN,15610.24603,13700.1942,17357.50908
2024,NaN,15206.39933,13213.62882,16979.38874
2025,NaN,14817.59084,12760.22731,16564.43033
2026,NaN,14471.91772,12258.30853,16223.26879
2027,NaN,14118.02965,11843.03843,15890.21491
2028,NaN,13752.22019,11313.2945,15560.94589
2029,NaN,13405.28744,10929.26811,15224.82778
2030,NaN,13063.89484,10407.09102,14856.04606
