Year,data,median,LB,UB
2008,905,905,905,905
2009,856,794.7898744,648.192173,935.2299755
2010,828,795.6393814,662.3341259,927.2801425
2011,788,789.7184723,658.7364539,917.6729997
2012,674,781.3004589,656.1814248,908.1417092
2013,712,766.5804338,644.6378532,894.5076364
2014,750,754.2648428,632.1170142,881.931337
2015,785,743.2664799,617.654667,870.0153907
2016,722,728.6493851,605.0210257,853.1638781
2017,698,714.0565984,586.6979133,840.4389582
2018,761,698.5973049,572.1332061,825.5202651
2019,724,682.1449239,549.1312333,815.5504217
2020,572,666.6060025,534.6732359,802.3210721
2021,704,652.1032862,519.9969081,786.3100723
2022,870,637.426387,503.4234034,775.312325
2023,NaN,622.8322716,485.6019394,763.7334136
2024,NaN,607.3568114,467.6252945,748.4228303
2025,NaN,593.511295,440.2247879,736.2438591
2026,NaN,578.7903886,428.1945919,729.6580801
2027,NaN,564.4983803,407.8013407,723.6081447
2028,NaN,549.3380374,383.967148,713.1648865
2029,NaN,535.8655179,369.2676605,700.3882272
2030,NaN,523.5844,347.4260439,683.1671049
