Year,data,median,LB,UB
2008,8142,8141.5,8141,8142
2009,7461,7116.584683,6202.810978,8127.218723
2010,6918,6843.739036,5994.952103,7681.007035
2011,6473,6537.702774,5735.63774,7345.269869
2012,5880,6254.876982,5435.932563,7017.765227
2013,5649,5972.571382,5153.904449,6728.390377
2014,5555,5736.46069,4899.039144,6501.167028
2015,5603,5486.794684,4691.327383,6260.77083
2016,5544,5266.749851,4468.634688,6033.06444
2017,5225,5062.626322,4286.250958,5849.527524
2018,5137,4878.876352,4092.860103,5655.401637
2019,4858,4698.324926,3890.329607,5499.614191
2020,3804,4532.615815,3702.959744,5339.04228
2021,4668,4369.854168,3536.279868,5220.770714
2022,4989,4209.869907,3331.024184,5130.686803
2023,NaN,4045.570016,3167.149454,5024.860215
2024,NaN,3894.925641,2993.316408,4909.013073
2025,NaN,3760.697052,2779.210684,4836.137251
2026,NaN,3608.593432,2629.793953,4698.804359
2027,NaN,3487.613504,2449.354639,4655.316118
2028,NaN,3340.679589,2300.736603,4533.95442
2029,NaN,3215.625062,2188.388695,4455.524128
2030,NaN,3083.245914,2009.298278,4314.612829
