Year,data,median,LB,UB
2008,3674,3674,3674,3674
2009,3398,3307.594053,2980.970025,3609.866176
2010,3234,3309.680662,3028.67042,3596.303505
2011,3175,3267.715496,3002.921147,3534.992293
2012,3208,3201.998876,2938.02652,3465.867595
2013,3171,3127.285891,2858.72691,3382.4826
2014,3114,3036.701812,2771.505582,3302.106139
2015,2912,2945.314029,2687.925647,3216.139393
2016,2867,2856.692831,2596.464248,3126.382596
2017,2757,2757.828324,2500.644875,3021.042654
2018,2701,2657.960607,2392.712245,2918.432373
2019,2575,2565.50237,2293.131579,2829.416036
2020,2173,2467.364398,2194.190301,2733.611581
2021,2583,2368.893377,2104.309212,2644.512556
2022,2734,2280.337733,2004.348644,2562.39299
2023,NaN,2189.258924,1918.768509,2480.899496
2024,NaN,2098.077417,1813.175923,2391.148694
2025,NaN,2015.799676,1720.372963,2307.036297
2026,NaN,1935.685078,1633.070144,2227.219663
2027,NaN,1856.118053,1545.739667,2158.862856
2028,NaN,1773.672466,1467.96498,2097.224504
2029,NaN,1700.732147,1388.288177,2030.671543
2030,NaN,1626.653298,1303.813155,1953.976488
