Year,data,median,LB,UB
2008,13294,13294,13294,13294
2009,12513,11973.66835,10808.53147,13163.82338
2010,11862,11714.99867,10556.5967,12871.84645
2011,11286,11438.12687,10339.38692,12537.8798
2012,10598,11150.51237,10085.01449,12232.44859
2013,10269,10858.92762,9797.874479,11947.86062
2014,10424,10559.67097,9526.189471,11617.77401
2015,10518,10289.53484,9266.11268,11351.51679
2016,10307,9999.731123,8955.984243,11054.52593
2017,10003,9718.769332,8660.205001,10762.64268
2018,9704,9454.475275,8388.437517,10512.70811
2019,9592,9175.535147,8079.860765,10268.76875
2020,7861,8935.954789,7852.240011,10005.93899
2021,9083,8667.084899,7556.835429,9756.444191
2022,9401,8428.410858,7281.550571,9506.456137
2023,NaN,8200.918089,7023.819315,9312.561519
2024,NaN,7973.206888,6794.488391,9040.220982
2025,NaN,7742.726707,6486.853998,8876.322402
2026,NaN,7514.214352,6306.976025,8653.17168
2027,NaN,7317.599732,6055.62274,8436.175228
2028,NaN,7112.81027,5823.145768,8236.098909
2029,NaN,6906.319507,5600.087834,8037.92782
2030,NaN,6706.43943,5365.040444,7838.918096
