Year,data,median,LB,UB
2008,3676,3676,3676,3676
2009,3606,3483.362482,2814.268999,4141.748215
2010,3646,3612.395135,3011.720223,4231.966484
2011,3611,3715.22627,3112.846924,4298.688285
2012,3575,3783.874311,3193.756393,4377.345046
2013,3669,3842.583027,3250.392648,4417.341865
2014,3859,3895.67875,3310.094027,4465.12523
2015,4146,3927.238622,3362.496527,4499.301216
2016,4209,3961.716663,3384.446102,4543.346172
2017,4089,3984.853861,3413.859174,4572.818283
2018,4130,4015.3986,3417.363031,4610.565094
2019,4125,4044.547753,3454.154113,4639.534804
2020,3386,4068.733702,3474.136295,4675.066551
2021,4388,4083.907649,3468.808275,4711.002653
2022,5124,4109.511496,3467.195286,4743.020873
2023,NaN,4125.183751,3454.35406,4752.569027
2024,NaN,4142.153874,3422.335508,4780.734715
2025,NaN,4156.995433,3426.179821,4817.379166
2026,NaN,4170.032837,3378.158641,4833.689849
2027,NaN,4183.772102,3351.036048,4858.800869
2028,NaN,4205.081507,3326.945871,4890.017728
2029,NaN,4203.243308,3267.700703,4894.884605
2030,NaN,4226.092591,3258.956073,4930.860126
