Year,data,median,LB,UB
2008,23782,23782,23782,23782
2009,22358,21049.30219,18533.6519,23559.0011
2010,21416,21129.28495,18800.92971,23447.19585
2011,20676,21017.55985,18701.51359,23199.61435
2012,19920,20777.87323,18535.37923,22981.24467
2013,19646,20469.7651,18284.62667,22573.7529
2014,19947,20115.96185,17936.96605,22317.38925
2015,20179,19721.15973,17604.88208,21855.44811
2016,19931,19362.66114,17179.70951,21507.26717
2017,19351,18941.00096,16766.66662,21108.16042
2018,19029,18513.6147,16405.39317,20640.36492
2019,18823,18096.69638,15926.8318,20291.65664
2020,15469,17699.53838,15485.52678,19868.14648
2021,18603,17258.08991,14935.81161,19456.01817
2022,19793,16827.77509,14451.02014,19113.95008
2023,NaN,16418.65031,14069.79476,18718.89745
2024,NaN,15987.29603,13608.6856,18384.94074
2025,NaN,15563.36411,13061.33009,17929.59651
2026,NaN,15147.66802,12663.20293,17564.19219
2027,NaN,14773.50225,12221.87629,17191.34544
2028,NaN,14370.72946,11739.19023,16850.80504
2029,NaN,13994.03607,11272.97337,16503.93338
2030,NaN,13564.10963,10874.45747,16172.43919
