"Year","data","median","LB","UB"
2008,4210,4209.5,4209,4210
2009,3620,3497.65692566987,2359.82392731053,3846.76680529709
2010,3212,3218.06250269805,2339.09842559512,3684.25240266561
2011,2758,2778.37677713008,2265.91884715093,3565.57757887418
2012,2468,2477.20610173837,2140.37410857039,3455.12009278347
2013,2275,2325.03975370284,2032.1210867927,3331.76236418921
2014,2200,2284.37895895286,1957.86963072877,3221.41957415428
2015,2293,2291.74888562176,1833.08001343724,3136.74941797938
2016,2201,2319.39965900943,1748.52724490098,3034.18955521965
2017,2374,2365.75669775635,1634.84645932229,2930.22994369408
2018,2506,2406.60348415615,1509.19648978396,2833.67973764228
2019,2561,2451.79527301872,1414.55399409398,2760.16192610048
2020,2078,2493.76017572844,1334.92218541211,2791.0043602224
2021,2537,2536.82536652113,1227.12208451306,2856.27336826082
2022,2621,2573.06049654539,1126.44566999046,2932.3905901855
2023,NA,2596.27292549316,1051.21716658919,3006.14695638996
2024,NA,2631.41369761616,962.203820145321,3083.91094134061
2025,NA,2664.93923816553,858.459187877042,3166.1925601382
2026,NA,2670.59448160187,756.110103350043,3244.01058206842
2027,NA,2699.80854924028,692.119980842272,3324.11928689355
2028,NA,2746.03373870686,651.746957638926,3396.10412854774
2029,NA,2749.43413107497,554.979222709953,3470.45527098742
2030,NA,2797.10543545387,536.162214643206,3536.54510050064
