"Year","data","median","LB","UB"
2008,1002,1001.5,1001,1002
2009,864,803.365042365033,392.028477054432,1047.76116924182
2010,809,772.846049865478,478.350227327374,979.932079691183
2011,779,752.701737911777,534.153849855307,1014.94879568978
2012,695,757.108989199087,562.558274707308,1053.79518223446
2013,718,781.139185421788,602.266667969464,1110.36481359187
2014,741,827.065928140499,635.231174426244,1136.7886869998
2015,963,876.842669400613,681.311118008117,1167.18363313495
2016,874,935.77217300123,722.89628134514,1204.02303258805
2017,1006,1000.0512365538,745.281014281307,1236.07843287343
2018,1104,1068.41028014549,757.286279956712,1272.3610348783
2019,1183,1133.95727718812,779.027955590439,1340.14417319626
2020,967,1199.26091367761,770.773449771155,1438.43166266864
2021,1239,1263.70917929702,770.133694723947,1555.16849003282
2022,1252,1320.42645080661,771.862755326983,1673.0655725999
2023,NA,1374.6549819678,735.740985312661,1810.23709418931
2024,NA,1429.38683923672,743.804428296196,1947.59804343822
2025,NA,1483.89825498048,717.128500995498,2091.56347903572
2026,NA,1529.17199024743,673.018080596185,2232.72390097292
2027,NA,1569.53591569775,664.708201626964,2388.6542070825
2028,NA,1620.11892885887,628.565807600188,2550.37385294534
2029,NA,1657.70168569429,604.599714172794,2712.57641506509
2030,NA,1713.78901627427,558.844029080979,2878.49593867501
