"Year","data","median","LB","UB"
2008,1002,1002,1001,1002
2009,864,671.608473427072,362.081058652509,997.217208871747
2010,809,735.312985880478,441.954195669127,1020.49515333877
2011,779,770.928498731242,495.324477229077,1063.79749287569
2012,695,815.229764230026,542.532804427626,1101.42971826596
2013,718,850.608238334151,589.19087526031,1155.41103529495
2014,741,890.732281366796,624.521075155911,1174.46244448181
2015,963,920.724930191725,649.271485612564,1196.9625873159
2016,874,954.654552080564,688.468757830296,1237.14369652713
2017,1006,986.921817741868,700.527761680204,1268.21866029359
2018,1104,1020.79934951288,711.239209485209,1303.01364370812
2019,1183,1043.05460415017,719.592273930413,1334.46658854017
2020,967,1060.69739312455,721.681340336675,1380.41117873612
2021,1239,1084.66616625418,708.52746418311,1466.56582551421
2022,1252,1100.82333736482,700.439906102921,1555.60396522013
2023,NA,1117.66526149208,664.348204176616,1660.66834409027
2024,NA,1133.44069116932,618.429098054751,1789.12951010615
2025,NA,1159.45759560891,575.645633329514,1893.47978339935
2026,NA,1164.08279063471,537.116068997324,2014.12688724934
2027,NA,1177.36775516918,477.066680605397,2146.56006440381
2028,NA,1195.84169602106,468.104316803707,2270.51265009509
2029,NA,1210.1313507692,394.819327654195,2420.06594881835
2030,NA,1224.58414522716,367.348455783516,2542.29000097061
