"Year","data","median","LB","UB"
2008,9947,9946.5,9946,9947
2009,9700,9482.43367025217,8743.29358990823,10326.3411429188
2010,9521,9346.99777133731,8656.08709042083,10006.0889083803
2011,9245,9473.68834097667,8864.02539642542,10088.1859089032
2012,9359,9584.19113263816,8989.90910515814,10173.176058946
2013,9254,9651.2524742563,9089.68055070937,10234.8699958208
2014,9731,9716.07111693602,9147.89000955557,10291.362285859
2015,9903,9783.00117133099,9207.29058693763,10341.4321419943
2016,10127,9839.3817490768,9247.71307772101,10424.5024354187
2017,9928,9863.79802490042,9270.09351096738,10459.0275809286
2018,9934,9901.43290582886,9299.53588928914,10518.2138001132
2019,9924,9946.33634923354,9304.96115123359,10544.5408407188
2020,8164,9963.06967888891,9333.42596424657,10621.8494180427
2021,10135,9998.41208362282,9345.89161476648,10648.1181345035
2022,11804,10028.7840683928,9334.70310999204,10677.9040085486
2023,NA,10046.7482815753,9298.28923598695,10719.0355442126
2024,NA,10087.5553059478,9275.29052362997,10771.0716568865
2025,NA,10095.0946403689,9291.03250395043,10815.8302451995
2026,NA,10113.4597888532,9239.12388424319,10830.2425966023
2027,NA,10128.8523123267,9209.21067939801,10864.9719886442
2028,NA,10146.8464642843,9146.74932627166,10931.5021250497
2029,NA,10162.4625677502,9132.6687091311,10917.1860962643
2030,NA,10182.805598509,9064.30943071999,10969.3285988526
