"Year","data","median","LB","UB"
2008,2251,2250.5,2250,2251
2009,1987,1904.34889348143,1318.23147859371,2136.64802323551
2010,1805,1784.70249258291,1299.10821756315,2020.76177440894
2011,1565,1570.25862088283,1272.7789704924,1979.55860049351
2012,1410,1426.45652316531,1219.08678877197,1933.32608083379
2013,1299,1365.36480007562,1170.61794902096,1898.19220667928
2014,1250,1350.67144096628,1145.71796833628,1835.30474937163
2015,1383,1358.46967111972,1114.38543731268,1790.3434963379
2016,1314,1372.67891238894,1056.45099669872,1736.01704587522
2017,1425,1394.75017315779,1010.52900487759,1704.91983008732
2018,1508,1414.90769700047,944.834050518018,1673.24880177586
2019,1455,1435.36317484589,900.805785153322,1642.65747043888
2020,1157,1454.87324351905,848.800454176775,1662.64307290823
2021,1401,1470.29007875421,784.102694132594,1702.33532757083
2022,1424,1487.69762686004,740.598238774245,1742.67758791623
2023,NA,1496.12006510966,700.423955707654,1788.56838273358
2024,NA,1508.78451554469,659.335359444839,1825.77004393435
2025,NA,1530.50859365474,610.161157371477,1878.87511310643
2026,NA,1543.98028472949,572.053682745611,1914.82202740656
2027,NA,1558.47192408948,510.437743965904,1957.45279248734
2028,NA,1579.02344299874,465.432141240762,1999.85325802232
2029,NA,1577.10342963177,445.790953003935,2043.17085211259
2030,NA,1587.64214672307,398.70722119412,2077.10272931743
