"Year","data","median","LB","UB"
2008,360,359.5,359,360
2009,334,299.52109496558,137.231882009375,471.615338490053
2010,316,293.625790489744,154.193012837954,433.472165100881
2011,311,299.729694258924,169.726905090237,436.698159226259
2012,264,312.78818259627,182.8752755863,448.005569208192
2013,280,328.974691865723,197.856773360698,463.328011664663
2014,297,348.322287574848,216.553116999547,483.936004578047
2015,467,368.405689143597,239.925863841737,501.342735190588
2016,367,390.251273193914,266.483225375891,516.281620107367
2017,400,410.918788944428,278.489118397712,537.997598895238
2018,467,430.400626512181,296.183228158697,564.782528937764
2019,450,448.439488404641,305.356787293715,590.459331720177
2020,341,468.379434567245,310.687382522559,633.833720381403
2021,454,486.130500700706,310.709325185195,683.77708228586
2022,449,502.973439248667,310.30536848501,748.628621795507
2023,NA,518.062118991608,305.001849063605,810.393083497825
2024,NA,533.637825883274,298.103100022313,883.360994765366
2025,NA,546.798927075284,297.169126413771,978.039773847031
2026,NA,559.340959233502,280.393615632955,1060.43349724107
2027,NA,572.300488415638,278.554734304056,1149.04525780433
2028,NA,586.678119928492,246.260750541347,1247.1022086295
2029,NA,600.294918353824,229.83938728009,1360.56307136361
2030,NA,605.370505890194,217.653332805417,1449.64120540149
