"Year","data","median","LB","UB"
2008,905,905,905,905
2009,856,772.745411276674,649.337332920543,892.099928453465
2010,828,773.062944208749,654.729914726879,893.393496581389
2011,788,769.941924142372,654.551579457078,881.733600856743
2012,674,766.558660017295,651.77762064606,877.114580616991
2013,712,764.641764122429,650.299179457999,875.220408553058
2014,750,756.723036411709,646.303684365497,868.467015819976
2015,785,751.759833398044,644.082542999841,864.0697744175
2016,722,746.755909065745,636.56857750079,860.1622832836
2017,698,738.889821398425,625.736013307636,848.208447117985
2018,761,735.188529691429,620.39327148107,847.273283421105
2019,724,728.248405491908,608.748635273202,842.738857717554
2020,572,722.92817512398,596.825133232153,840.408771096607
2021,704,716.137468152574,585.337564248838,837.316927216195
2022,870,712.403588761577,573.810155057987,831.281143801627
2023,NA,706.874021379523,557.546474857199,832.483288530118
2024,NA,699.698795623515,540.963142084075,826.90994414067
2025,NA,696.078736377484,522.104157834751,824.269265349254
2026,NA,688.911893076981,505.336409189639,823.223616517802
2027,NA,684.065073604904,495.577922718614,818.091055531802
2028,NA,677.300628721484,470.59177318088,816.988804835585
2029,NA,674.87313035872,459.220351619927,818.152955674827
2030,NA,669.501583388725,430.646693709363,817.797000754106
