"Year","data","median","LB","UB"
2008,1139,1138.5,1138,1139
2009,942,921.012501813844,731.918534164849,1011.7004160446
2010,822,807.156821477769,648.307456500117,906.476122118544
2011,638,670.535172090631,566.7475518832,822.494729021521
2012,556,556.542993230981,487.971389910822,733.38038438737
2013,465,475.199865436291,408.705556340189,658.729596162139
2014,415,420.536515131475,349.288891683636,589.225382794965
2015,365,386.132523057159,292.683984851054,535.421007574632
2016,354,362.827140358298,234.863836601917,483.514809157106
2017,340,346.721106474713,191.056825602504,433.743418365886
2018,354,335.950761353446,154.944894730635,402.504164611974
2019,359,326.790448169734,114.243657962226,389.815839616573
2020,284,317.183842878527,84.7643402389499,383.63066065041
2021,344,309.349382927729,55.1349889295088,381.019845203977
2022,361,301.207855607462,37.5621200449829,379.346450995985
2023,NA,290.173654914865,16.2912540493631,376.291551882176
2024,NA,280.826063486376,0,372.423680253771
2025,NA,272.229614349397,0,368.787098412069
2026,NA,260.857544578827,0,362.344099937111
2027,NA,249.837234379114,0,361.329194425676
2028,NA,239.614071019648,0,363.718823794151
2029,NA,229.059885908513,0,361.45542169982
2030,NA,222.252888534157,0,360.045127478421
