"Year","data","median","LB","UB"
2008,1139,1138,1138,1138
2009,942,936.563053880301,888.60006405093,983.39879822383
2010,822,814.968532793625,766.744954384904,861.741668080393
2011,638,664.315195538092,622.458276456988,708.188132189001
2012,556,542.14599983013,501.277309456419,585.88184284624
2013,465,458.790986596834,417.999039442856,501.930647572225
2014,415,408.369397266048,368.241333952915,449.22926877311
2015,365,379.165266100811,340.785707775455,420.280721328217
2016,354,364.399248216627,323.964185209433,403.647057811214
2017,340,356.370389874078,315.369572416313,395.418443155527
2018,354,352.25167171479,311.033708634804,390.362164625316
2019,359,350.053228568774,306.703524355686,389.433190737637
2020,284,347.410391145063,302.654380511406,388.8366984256
2021,344,345.295678153698,298.330399327721,388.71247161219
2022,361,341.877707830415,293.241311467722,388.287054367002
2023,NA,337.380177282506,287.654932943909,387.012911937054
2024,NA,331.669217143495,281.467817977807,385.521149136777
2025,NA,324.331515568969,276.124401111705,384.21371665555
2026,NA,316.533477568387,266.276334356619,385.358767853128
2027,NA,307.109462463277,255.690000634544,387.299681515979
2028,NA,295.886084636834,243.209458814442,390.156089116843
2029,NA,285.792805678454,233.089480002567,390.912905000323
2030,NA,273.556480219404,223.874469518988,397.391292353073
