"Year","data","median","LB","UB"
2008,242,241.5,241,242
2009,221,206.017875757559,145.876543839251,239.165253136392
2010,166,176.730261669312,141.929372554222,212.129393771641
2011,171,162.170018294807,134.848702923855,204.259910166918
2012,151,154.200747915842,127.723706087737,199.627694122938
2013,136,149.77361314979,123.7717691166,192.202070277941
2014,143,146.793202968591,119.666365422144,186.544995618973
2015,144,144.537716221011,115.989147056179,180.737742934402
2016,141,142.548739455738,109.769879706651,174.92958311662
2017,148,140.876576635751,103.686210483579,170.923665277786
2018,143,139.6083463359,98.172326007135,167.982612047328
2019,140,138.226112453207,91.8522338981298,164.742793491563
2020,123,136.613643972234,84.7069006448752,164.616567248305
2021,142,135.3289250924,81.1737821028768,164.663556409796
2022,157,134.279014432035,72.9023897558364,165.625764824539
2023,NA,132.528900003307,68.8177508188939,166.595898010698
2024,NA,131.184792364989,61.1481418667357,167.64517498071
2025,NA,130.196789068578,58.0007108317143,168.345773584353
2026,NA,129.473338641831,53.1973234441463,169.949539574059
2027,NA,127.229899361587,47.469099487763,172.079036726576
2028,NA,126.129369907765,42.6718606216372,172.836750461646
2029,NA,125.970339492937,38.9052990279517,173.926399355083
2030,NA,124.367550997136,36.8585192384316,176.096781683475
