"Year","data","median","LB","UB"
2008,1963,1962,1962,1962
2009,1635,1626.88282333619,1531.83272692128,1724.32706406204
2010,1409,1413.77001854852,1332.09045517384,1496.70888902842
2011,1193,1205.65832569727,1124.19179443665,1284.29597639136
2012,1061,1051.61333578183,972.362516633574,1130.46130323925
2013,977,962.30199923617,884.145280351227,1037.41902229869
2014,950,922.46272032567,847.967710234113,996.095689606556
2015,914,916.44635909412,842.732151635489,989.391665114696
2016,887,935.490551900996,861.566164503717,1009.5507233216
2017,952,970.559247844102,894.489191952237,1042.70727265051
2018,997,1016.52434095046,938.204514928284,1091.15733297326
2019,1113,1067.17743600777,984.923173450518,1148.99629348153
2020,921,1124.27321824872,1035.0092325597,1210.29793135522
2021,1137,1185.21798805059,1086.83626037244,1278.02395791001
2022,1205,1250.34108143155,1133.51780545456,1344.96834179104
2023,NA,1316.15864454148,1187.00955000301,1419.75055778098
2024,NA,1384.17878644102,1227.42510455157,1494.31618507176
2025,NA,1452.18130029299,1266.56922468573,1567.71807195226
2026,NA,1519.8632147198,1299.62878577096,1643.80990161656
2027,NA,1590.29436014573,1352.71365101008,1719.07696844188
2028,NA,1660.12841752603,1388.6132166775,1796.83314991733
2029,NA,1728.54665005821,1429.1052535726,1871.2993343818
2030,NA,1801.42196966158,1472.28726022206,1952.26775640731
