"Year","data","median","LB","UB"
2008,447,447,447,447
2009,370,262.078656671024,109.93162267657,420.604499785239
2010,330,292.405800833818,137.778592533169,438.485475733031
2011,312,315.054311937207,165.392612219128,463.265038534685
2012,294,339.871257425443,196.382436838296,483.041967373896
2013,312,359.009050970331,215.474108255768,505.693608781322
2014,326,376.575862505002,230.476857056238,520.595501437941
2015,358,394.595822335404,250.23015707758,538.567410057464
2016,340,407.924958481973,266.326037333726,550.202595017481
2017,423,418.404699181765,270.938924599736,562.866237489627
2018,440,431.795371812265,282.545873362121,578.216774110299
2019,563,439.49639997606,283.779991287635,592.782331778742
2020,470,448.115996222285,286.632796471313,610.350886066818
2021,606,460.005839089034,278.89703566486,629.5765668211
2022,629,470.124263004414,257.030861531654,645.863410523237
2023,NA,478.229745769976,252.533758603533,660.16499377837
2024,NA,486.140549321762,221.361527886119,683.705152549918
2025,NA,497.057822753488,199.338066077393,706.290868050966
2026,NA,505.055616044943,176.397541894021,725.809634662732
2027,NA,513.936011613776,151.755986555472,751.001103781845
2028,NA,518.843723158265,124.618854859397,774.150792654526
2029,NA,527.160220592599,111.706475485388,793.414187173547
2030,NA,532.856648448976,100.866346477325,814.9083695904
