"Year","data","median","LB","UB"
2008,2358,2357.5,2357,2358
2009,2372,2298.20561239859,1994.48179192372,2657.49976186064
2010,2482,2428.86093295621,2143.46771711588,2700.72492551034
2011,2503,2579.14882567853,2299.00239099659,2846.75700305381
2012,2591,2692.58868151995,2437.68702267044,2950.53769030467
2013,2690,2792.3029275275,2529.50167545523,3053.43629564771
2014,2831,2874.85106053625,2620.67371774569,3129.84061158365
2015,3070,2944.52908252883,2698.46828982432,3207.14904896908
2016,3196,3013.60918176171,2759.05935551828,3273.10987991499
2017,3103,3074.46241001918,2804.2816122712,3341.18266431185
2018,3085,3129.75798951643,2860.11902843116,3404.79970718049
2019,3101,3175.53882255493,2896.99233592955,3459.48636823638
2020,2568,3223.47938290346,2920.59532862226,3517.16116474094
2021,3425,3269.37876941353,2952.86681758597,3574.18069553548
2022,3963,3302.50124190895,2977.27355695233,3641.51322752544
2023,NA,3342.94771213322,2990.06244681569,3701.84091464114
2024,NA,3378.10298154414,2989.1944635022,3785.70826486276
2025,NA,3416.81961830092,2997.86130189084,3828.74061477036
2026,NA,3451.03294915542,2980.39217651612,3906.82662681857
2027,NA,3484.02575467155,2964.02939165966,3977.62813906221
2028,NA,3511.623344843,2928.26633047038,4060.44332179129
2029,NA,3545.23266638645,2918.9001614438,4137.36659034819
2030,NA,3567.81701057844,2876.98717592381,4259.96784309921
