"Year","data","median","LB","UB"
2008,3676,3676,3676,3676
2009,3606,3432.67426709466,3071.96553950213,3805.05017413677
2010,3646,3588.55790471613,3257.28307217392,3926.0278321422
2011,3611,3707.48379851841,3396.27348917266,4046.04050622543
2012,3575,3796.17454748596,3482.61530820864,4125.18659073126
2013,3669,3870.8214140254,3549.53731215594,4189.72084246405
2014,3859,3929.4653044082,3606.87826626489,4259.16035217117
2015,4146,3978.51329646331,3651.83296900719,4302.80975742843
2016,4209,4025.22739824425,3692.66690555193,4363.86879124211
2017,4089,4068.35481124255,3725.82147497889,4405.50899955577
2018,4130,4105.71716232375,3758.99751213943,4434.73183865694
2019,4125,4135.72739977598,3783.9867933252,4483.6571366032
2020,3386,4164.56545072816,3807.59713109726,4518.28241621593
2021,4388,4196.51724481265,3820.18453217798,4561.3661883496
2022,5124,4225.36367555131,3819.32035321465,4588.72521994115
2023,NA,4249.31791878102,3820.57997755104,4617.20097691268
2024,NA,4272.14723248093,3821.82606914082,4653.92130369533
2025,NA,4296.06449764747,3821.74758705718,4682.36722383079
2026,NA,4311.75237293891,3815.59219070706,4715.65892128556
2027,NA,4335.21369659186,3831.73131827456,4738.07932438939
2028,NA,4354.85776878469,3812.41772265583,4769.23239126898
2029,NA,4381.25421930779,3802.55972185958,4815.64229596949
2030,NA,4394.25508617612,3765.70533661293,4828.59390419198
